id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
nPxUemgJ,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,3,0,A. Gomes Stefano (Bra),Mineirão (Belo Horizonte),61927.0,1768.0,08/09/2024,18:30,BRASIL,SÉRIE B - RODADA 25,
fTrp2OFh,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,2,2,Lacerda D. (Bra),Estádio Couto Pereira (Curitiba),40502.0,19249.0,08/09/2024,18:30,BRASIL,SÉRIE B - RODADA 25,
jexg02p5,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,2,1,Marcos André Gomes (Bra),Castelão (Fortaleza),60326.0,46976.0,08/09/2024,16:00,BRASIL,SÉRIE B - RODADA 25,
n3ux4pot,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,0,2,F. A. Santos Sá Júnior (Bra),Ressacada (Florianópolis),17800.0,8601.0,07/09/2024,19:00,BRASIL,SÉRIE B - RODADA 25,
06qt340n,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,0,1,Klein R. (Bra),Augusto Bauer (Brusque),5000.0,4600.0,07/09/2024,16:00,BRASIL,SÉRIE B - RODADA 25,
8YwQdTwD,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,3,2,de Almeida Andrade E. R. (Bra),Estádio Novelli Júnior (Itu),18560.0,1405.0,07/09/2024,16:00,BRASIL,SÉRIE B - RODADA 25,
YJsl1rVb,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,0,1,Sampaio S. (Bra),Leonidas Sodre de Castro (Belem),16200.0,6785.0,05/09/2024,21:30,BRASIL,SÉRIE B - RODADA 25,
vgjDaVgf,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,1,0,,Estádio Onésio Brasileiro Alvarenga (Goiânia),11788.0,6879.0,04/09/2024,20:00,BRASIL,SÉRIE B - RODADA 25,
naRZoCPf,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,2,1,Vieira C. (Bra),Estádio Brinco de Ouro (Campinas),29130.0,,03/09/2024,21:30,BRASIL,SÉRIE B - RODADA 24,
QkQwoWv1,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,0,M. Lima Barbosa (Bra),Estádio José Maria de Campos Maia (Mirassol),15000.0,,03/09/2024,19:00,BRASIL,SÉRIE B - RODADA 24,
