id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
pt4xgBkq,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,3,2,Ferreira Y. (Bra),Estadio Maria Lamas Farache (Natal),18000.0,4054.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
6Z4vebLT,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,3,0,,,,,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
red6jITp,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,0,0,F. A. Santos Sá Júnior (Bra),Ressacada (Florianópolis),17800.0,3427.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
p0zkF16o,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,0,1,,,,,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
dIn0Caj4,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,1,3,Vieira C. (Bra),Estadio Presidente Vargas (Fortaleza),20262.0,7515.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
vsx5BJ5A,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,3,1,,Arena Condá (Chapecó),20089.0,11171.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
OjZhELLi,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,2,0,,,,,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
CC5zdv6N,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,3,0,Leandro Vuaden (Bra),Moisés Lucarelli (Campinas),17728.0,9737.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
IRmdDuyb,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,4,1,de Andrade D. (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418.0,11520.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
hpt9AwLG,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,0,1,,,3050.0,1947.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38,
rXDJaM6b,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,4,0,,,,,20/11/2023,20:00,BRASIL,SÉRIE B - RODADA 37,
YL6WdKjH,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,2,0,Klein R. (Bra),Estádio Rei Pelé (Maceió),19105.0,,19/11/2023,18:00,BRASIL,SÉRIE B - RODADA 37,
xfihq1MH,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,2,3,F. Fernandes de Lima (Bra),Estádio Brinco de Ouro (Campinas),29130.0,3089.0,19/11/2023,15:45,BRASIL,SÉRIE B - RODADA 37,
b9u1suiU,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,3,0,Ferreira Y. (Bra),Estádio Heriberto Hülse (Criciúma),19300.0,18673.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37,
xfDNbtM4,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,0,0,Wagner do Nascimento (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924.0,13157.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37,
lYKA1rxn,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,4,1,,,,,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37,
KItcrLyO,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,3,1,Mendonca J. (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788.0,10878.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37,
WdAF02ih,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,1,0,P. C. Zanovelli (Bra),Barradão (Salvador),34535.0,29168.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37,
GpCRc0yB,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,0,1,de Andrade D. (Bra),Estádio do Café (Londrina),36056.0,469.0,17/11/2023,21:30,BRASIL,SÉRIE B - RODADA 37,
AsM62OMu,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,0,0,,,18560.0,3294.0,17/11/2023,19:00,BRASIL,SÉRIE B - RODADA 37,
