id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
hIP2NMcg,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,2,1,M. Henrique (Bra),Ressacada (Florianópolis),17800.0,15588.0,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
2DSy9Nr0,Botafogo,https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,2,2,Rodolpho (Bra),Estádio Olímpico Nilton Santos (Rio de Janeiro),46931.0,33853.0,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
K4RfPrTt,CSA,https://static.flashscore.com/res/image/data/UPX8Hag5-tQk41rnG.png,Brasil de Pelotas,https://static.flashscore.com/res/image/data/0zgnuQyS-xhog3gde.png,4,0,,,,,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
t4Ru8sb6,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,2,2,,,,,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
UP7zUOKP,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,3,0,Moraes A. (Bra),Estádio do Café (Londrina),36056.0,3011.0,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
beQbO2rm,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,2,1,Sampaio S. (Bra),Estádio Germano Krüger (Ponta Grossa),10632.0,2462.0,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
lpJBL0S5,Remo,https://static.flashscore.com/res/image/data/dWTc9iBr-8r8ETTNO.png,Confiança,https://static.flashscore.com/res/image/data/KIpOFre5-42i02OW9.png,0,0,,,,,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
6LT6MtDa,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-QwRlGht5.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,0,1,Ricardo Marques (Bra),Barradão (Salvador),34535.0,5613.0,28/11/2021,16:00,BRASIL,SÉRIE B - RODADA 38,
xWKl6LSI,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,3,2,,,,,26/11/2021,19:00,BRASIL,SÉRIE B - RODADA 38,
jZ8WU45J,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,Náutico,https://static.flashscore.com/res/image/data/CK0W4Hhl-4S2Tm4eJ.png,0,0,,,,60700.0,25/11/2021,20:00,BRASIL,SÉRIE B - RODADA 38,
