id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
tYxjGH7i,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,0,Klein R. (Bra),Arena MRV (Belo Horizonte),47465.0,,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
KOyfFyNc,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,2,0,Bauermann G. (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902.0,48476.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
Slu2DFiA,Botafogo,https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,1,Anderson Daronco (Bra),Estádio Olímpico Nilton Santos (Rio de Janeiro),46931.0,36967.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
KnKt6Xqp,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,1,2,Thiago Gomes (Bra),Arena Pantanal (Cuiabá),44000.0,7030.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
EoybEex4,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-QwRlGht5.png,2,2,L. Casagrande (Bra),Maracanã (Rio de Janeiro),78838.0,65528.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
IwYEADyT,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,3,0,Delgado M. (Bra),Castelão (Fortaleza),60326.0,50264.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
fVHFiYUj,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,0,3,P. C. Zanovelli (Bra),Arena do Grêmio (Porto Alegre),60540.0,42699.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
2B9o5iaj,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,0,1,E. Alves Batista (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924.0,13518.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
ADU6CZ6G,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,0,1,R. Abatti Abel (Bra),Allianz Parque (São Paulo),43713.0,34571.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
l4TABgMM,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,5,1,Sampaio S. (Bra),Estádio Nabi Abi Chedid (Bragança Paulista),15010.0,9021.0,08/12/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 38,
