id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
YLK4LUi0,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,0,3,0,Augusto V. C. M. (Bra),Mineirão (Belo Horizonte),61927,9484.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
GrJXO3bh,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,2,0,3,0,Paulo Roberto (Bra),Estádio Antonio Accioly (Goiânia),12500,10746.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
IVHhOW7s,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,3,0,3,0,Leandro Vuaden (Bra),Maracanã (Rio de Janeiro),78838,,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
fy9DJ8MC,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,2,1,3,0,Flávio Rodrigues de Souza (Bra),Castelão (Fortaleza),60326,51125.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
CCJ8Kl76,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,4,3,3,0,Raphael Claus (Bra),Arena do Grêmio (Porto Alegre),60540,27439.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
b7OSPqqn,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,0,3,0,Rodolpho (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,18413.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
0f7cNjNm,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,1,0,3,0,Pereira Sampiao S. (Bra),Allianz Parque (São Paulo),43713,5304.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
KGPOQPTu,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,1,0,3,0,da Silva Machado B. (Bra),Estádio Nabi Abi Chedid (Bragança Paulista),15010,5339.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
vo61MAxf,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,1,1,1,1,Wagner do Nascimento (Bra),Vila Belmiro (Santos),16068,12444.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
8vDHISyJ,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,1,1,1,R. Abatti Abel (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418,4215.0,09/12/2021,21:30,BRASIL,SÉRIE A - RODADA 38
nmRMThpK,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,0,1,0,3,P. C. Zanovelli (Bra),Arena Condá (Chapecó),20089,1658.0,06/12/2021,21:00,BRASIL,SÉRIE A - RODADA 37
tAQQSCaQ,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,1,0,3,0,Heber R. Lopes (Bra),Arena Pantanal (Cuiabá),44000,15923.0,06/12/2021,20:00,BRASIL,SÉRIE A - RODADA 37
Yq1mFgVQ,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,0,1,0,3,Anderson Daronco (Bra),Maracanã (Rio de Janeiro),78838,41930.0,06/12/2021,20:00,BRASIL,SÉRIE A - RODADA 37
bRpS7BN0,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,1,2,0,3,Flávio Rodrigues de Souza (Bra),Estádio José Pinheiro Borda (Porto Alegre),50600,17143.0,06/12/2021,20:00,BRASIL,SÉRIE A - RODADA 37
8dSIUYUD,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,0,0,1,1,Wagner do Nascimento (Bra),Ligga Arena (Curitiba),42372,18232.0,06/12/2021,19:00,BRASIL,SÉRIE A - RODADA 37
4SiJ9Xhl,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,3,1,3,0,da Silva Machado B. (Bra),Estádio do MorumBIS (São Paulo),77011,40442.0,06/12/2021,19:00,BRASIL,SÉRIE A - RODADA 37
hlpW6Vx7,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,0,0,1,1,Raphael Claus (Bra),Castelão (Fortaleza),60326,51123.0,05/12/2021,19:00,BRASIL,SÉRIE A - RODADA 37
nisO8i8f,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,4,3,3,0,Rodolpho (Bra),Mineirão (Belo Horizonte),61927,61573.0,05/12/2021,16:00,BRASIL,SÉRIE A - RODADA 37
Wvqz6khD,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,2,0,3,0,Luiz Flávio (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902,26048.0,05/12/2021,16:00,BRASIL,SÉRIE A - RODADA 37
QygFADwr,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,1,1,1,1,B. Arleu (Bra),Neo Química Arena (São Paulo),49205,44187.0,05/12/2021,16:00,BRASIL,SÉRIE A - RODADA 37
6XLlfhg1,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,1,0,3,0,B. Arleu (Bra),Castelão (Fortaleza),60326,45398.0,03/12/2021,21:00,BRASIL,SÉRIE A - RODADA 36
CUCvHF0E,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,0,1,0,3,Augusto V. C. M. (Bra),Arena Condá (Chapecó),20089,,03/12/2021,20:00,BRASIL,SÉRIE A - RODADA 36
rZdKdQc2,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,1,1,1,1,Leandro Vuaden (Bra),Arena Pernambuco (São Lourenço da Mata),44248,10733.0,03/12/2021,20:00,BRASIL,SÉRIE A - RODADA 35
n7N05I12,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,1,0,3,0,da Silva Machado B. (Bra),Ligga Arena (Curitiba),42372,17523.0,03/12/2021,19:00,BRASIL,SÉRIE A - RODADA 35
jRvDbnTk,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,3,0,3,0,Pereira Sampiao S. (Bra),Arena do Grêmio (Porto Alegre),60540,8517.0,02/12/2021,20:00,BRASIL,SÉRIE A - RODADA 35
QstcyJVO,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,2,3,0,3,Flávio Rodrigues de Souza (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902,29228.0,02/12/2021,18:00,BRASIL,SÉRIE A - RODADA 32
fg2qGZFK,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,1,3,0,3,Paulo Roberto (Bra),Arena Pantanal (Cuiabá),44000,26612.0,30/11/2021,22:00,BRASIL,SÉRIE A - RODADA 36
Czt9aSDq,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,3,0,3,0,Luiz Flávio (Bra),Mineirão (Belo Horizonte),61927,5000.0,30/11/2021,21:00,BRASIL,SÉRIE A - RODADA 35
YNPC2GoL,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,2,1,3,0,Augusto V. C. M. (Bra),Maracanã (Rio de Janeiro),78838,47862.0,30/11/2021,20:00,BRASIL,SÉRIE A - RODADA 36
QcM44xH8,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,1,0,3,0,F. Fernandes de Lima (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,18413.0,30/11/2021,19:00,BRASIL,SÉRIE A - RODADA 35
fXQ83dWE,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,2,1,3,0,R. Abatti Abel (Bra),Estádio Antonio Accioly (Goiânia),12500,10704.0,29/11/2021,19:00,BRASIL,SÉRIE A - RODADA 35
QL4ieYwe,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,1,1,1,1,da Silva Machado B. (Bra),Estádio José Pinheiro Borda (Porto Alegre),50600,11432.0,28/11/2021,19:00,BRASIL,SÉRIE A - RODADA 36
nV5mdEOl,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,2,1,3,0,Marielson Alves Silva (Bra),Mineirão (Belo Horizonte),61927,59900.0,28/11/2021,16:00,BRASIL,SÉRIE A - RODADA 36
GnFH1z1R,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,0,3,0,P. C. Zanovelli (Bra),Neo Química Arena (São Paulo),49205,37309.0,28/11/2021,16:00,BRASIL,SÉRIE A - RODADA 36
h86qcf9r,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,2,0,3,0,Heber R. Lopes (Bra),Estádio do MorumBIS (São Paulo),77011,35679.0,27/11/2021,21:30,BRASIL,SÉRIE A - RODADA 36
bR8zIeo8,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,1,1,1,Anderson Daronco (Bra),Estádio Nabi Abi Chedid (Bragança Paulista),15010,2673.0,27/11/2021,19:30,BRASIL,SÉRIE A - RODADA 36
pOKhgC87,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,3,1,3,0,B. Arleu (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902,29576.0,26/11/2021,19:00,BRASIL,SÉRIE A - RODADA 36
plvHc6rd,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,2,1,3,0,P. Alves (Bra),Castelão (Fortaleza),60326,35693.0,25/11/2021,20:00,BRASIL,SÉRIE A - RODADA 35
Wtbt485S,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,2,0,3,0,Wagner do Nascimento (Bra),Vila Belmiro (Santos),16068,9000.0,25/11/2021,19:00,BRASIL,SÉRIE A - RODADA 35
bTaY5UzG,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,1,0,3,0,F. Fernandes de Lima (Bra),Maracanã (Rio de Janeiro),78838,,24/11/2021,21:30,BRASIL,SÉRIE A - RODADA 35
Uk3c4HaB,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,0,0,1,1,Leandro Vuaden (Bra),Estádio do MorumBIS (São Paulo),77011,43391.0,24/11/2021,21:30,BRASIL,SÉRIE A - RODADA 34
hjax5ljM,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,2,2,1,1,Anderson Daronco (Bra),Allianz Parque (São Paulo),43713,17744.0,23/11/2021,21:30,BRASIL,SÉRIE A - RODADA 35
bR88qwUL,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,2,2,1,1,da Silva Machado B. (Bra),Arena do Grêmio (Porto Alegre),60540,,23/11/2021,21:00,BRASIL,SÉRIE A - RODADA 2
b7pOYP9Q,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,1,1,1,1,Flávio Rodrigues de Souza (Bra),Estádio Antonio Accioly (Goiânia),12500,9051.0,23/11/2021,19:00,BRASIL,SÉRIE A - RODADA 30
d4JwpmEd,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,0,0,1,1,Raphael Claus (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902,19790.0,21/11/2021,19:00,BRASIL,SÉRIE A - RODADA 34
YN9l6wVb,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,2,0,3,0,Heber R. Lopes (Bra),Maracanã (Rio de Janeiro),78838,14168.0,21/11/2021,17:00,BRASIL,SÉRIE A - RODADA 34
ja4g5cp5,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,2,0,3,0,Leandro Vuaden (Bra),Neo Química Arena (São Paulo),49205,43381.0,21/11/2021,16:00,BRASIL,SÉRIE A - RODADA 34
zkVUo9qp,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,1,2,0,3,Wilton Sampaio (Bra),Estádio José Pinheiro Borda (Porto Alegre),50600,,20/11/2021,21:30,BRASIL,SÉRIE A - RODADA 34
pQeU6AL9,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,1,1,1,1,da Silva Machado B. (Bra),Estádio Antonio Accioly (Goiânia),12500,2801.0,20/11/2021,21:00,BRASIL,SÉRIE A - RODADA 34
OC213yFH,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,2,0,3,0,Luiz Flávio (Bra),Mineirão (Belo Horizonte),61927,61476.0,20/11/2021,19:00,BRASIL,SÉRIE A - RODADA 34
216P7j63,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,1,3,0,3,Rodolpho (Bra),Arena Condá (Chapecó),20089,2830.0,20/11/2021,19:00,BRASIL,SÉRIE A - RODADA 34
IDKZpTbj,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,1,0,3,0,R. Abatti Abel (Bra),Castelão (Fortaleza),60326,18139.0,20/11/2021,19:00,BRASIL,SÉRIE A - RODADA 34
OCtWmdFU,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,1,0,3,0,Flávio Rodrigues de Souza (Bra),Arena Pernambuco (São Lourenço da Mata),44248,8096.0,18/11/2021,21:00,BRASIL,SÉRIE A - RODADA 33
n7o7g0og,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,0,3,0,Anderson Daronco (Bra),Maracanã (Rio de Janeiro),78838,49897.0,17/11/2021,21:30,BRASIL,SÉRIE A - RODADA 33
0ABt8a0n,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,1,0,3,0,Ricardo Marques (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,6000.0,17/11/2021,20:30,BRASIL,SÉRIE A - RODADA 33
tUpBhK0a,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,0,2,0,3,M. Henrique (Bra),Allianz Parque (São Paulo),43713,35572.0,17/11/2021,20:30,BRASIL,SÉRIE A - RODADA 33
pMsSlx0O,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,0,4,0,3,Raphael Claus (Bra),Castelão (Fortaleza),60326,28037.0,17/11/2021,20:00,BRASIL,SÉRIE A - RODADA 33
xdvKjbVB,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,0,0,1,1,Leandro Vuaden (Bra),Mineirão (Belo Horizonte),61927,2955.0,17/11/2021,19:00,BRASIL,SÉRIE A - RODADA 33
fXAp7JFh,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,1,0,3,0,Paulo Roberto (Bra),Arena Pantanal (Cuiabá),44000,,17/11/2021,19:00,BRASIL,SÉRIE A - RODADA 33
fXlFivG5,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,2,0,3,0,P. C. Zanovelli (Bra),Vila Belmiro (Santos),16068,,17/11/2021,19:00,BRASIL,SÉRIE A - RODADA 33
GnwOkIpI,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,3,0,3,0,Augusto V. C. M. (Bra),Arena do Grêmio (Porto Alegre),60540,,16/11/2021,18:00,BRASIL,SÉRIE A - RODADA 33
lz8x9uot,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,0,1,0,3,Pereira Sampiao S. (Bra),Ligga Arena (Curitiba),42372,,16/11/2021,16:00,BRASIL,SÉRIE A - RODADA 33
CvxgxaGI,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,2,1,3,0,Marcelo de Lima (Bra),Castelão (Fortaleza),60326,20362.0,14/11/2021,19:00,BRASIL,SÉRIE A - RODADA 32
tfG6eMGt,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,0,2,0,3,Alisson (Bra),Arena Condá (Chapecó),20089,1616.0,14/11/2021,19:00,BRASIL,SÉRIE A - RODADA 32
0zeXtN1m,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,2,1,3,0,Augusto V. C. M. (Bra),Maracanã (Rio de Janeiro),78838,,14/11/2021,18:15,BRASIL,SÉRIE A - RODADA 32
Mkqtu1Wa,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,4,0,3,Leandro Vuaden (Bra),Estádio do MorumBIS (São Paulo),77011,47855.0,14/11/2021,16:00,BRASIL,SÉRIE A - RODADA 32
rapxtsHg,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,3,2,3,0,Rodolpho (Bra),Neo Química Arena (São Paulo),49205,38474.0,13/11/2021,21:00,BRASIL,SÉRIE A - RODADA 32
