id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
KdwXCkbO,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,0,3,0,Loustau P. (Arg),Estádio Banco Pichincha (Guayaquil),59283,,29/10/2022,17:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - FINAL
4dylaHU5,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,2,1,3,0,Maza P. (Chi),Maracanã (Rio de Janeiro),78838,66635.0,07/09/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
WtK9i467,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,2,2,1,1,Ostojich E. (Uru),Allianz Parque (São Paulo),43713,40590.0,06/09/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
MXoq0cFa,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,4,0,3,Roldan W. (Col),Estadio José Amalfitani (Buenos Aires),49540,,31/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
IwG5hpi1,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,1,0,3,0,Tobar Vargas R. (Chi),Ligga Arena (Curitiba),42372,38963.0,30/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
2eNC7lTg,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,0,1,0,3,Matonte Cabrera A. M. (Uru),Estádio Jorge Luis Hirschi (La Plata),32530,20544.0,11/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
SCafjFUn,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,1,0,3,0,Roldan W. (Col),Allianz Parque (São Paulo),43713,40433.0,10/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
hYyu2CTb,Talleres Córdoba (Arg),https://static.flashscore.com/res/image/data/p45YOHAr-hUOWZpWa.png,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,0,1,0,3,Aquino E. (Par),Estadio Mario Alberto Kempes (Córdoba),57000,52265.0,10/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
8A3MqVDU,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,0,3,0,Ostojich E. (Uru),Maracanã (Rio de Janeiro),78838,68418.0,09/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
O4O88UDm,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,0,0,1,1,Valenzuela J. (Ven),Ligga Arena (Curitiba),42372,34173.0,04/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
