id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
EwgjifEi,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,1,2,0,3,Roldan W. (Col),Maracanã (Rio de Janeiro),78838.0,78838.0,04/11/2023,17:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - FINAL
8x6hzf07,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,1,2,0,3,Matonte Cabrera A. M. (Uru),Allianz Parque (São Paulo),43713.0,40398.0,05/10/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
drSWQkSg,Internacional (Bra),https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,1,2,0,3,Valenzuela J. (Ven),Estádio José Pinheiro Borda (Porto Alegre),50600.0,50002.0,04/10/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
QDGmyzo1,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,0,0,1,1,Roldan W. (Col),Estadio Alberto J. Armando (Buenos Aires),57200.0,53615.0,28/09/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
2LSSRVCm,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Internacional (Bra),https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,2,2,1,1,Herrera D. (Arg),Maracanã (Rio de Janeiro),78838.0,67515.0,27/09/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS
WrVYmhhf,Olimpia Asuncion (Par),https://static.flashscore.com/res/image/data/fFjeTTwS-UPd1WAes.png,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,1,3,0,3,Valenzuela J. (Ven),Estadio Defensores del Chaco (Assunção),44164.0,,31/08/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
zoLtpx5l,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Pereira (Col),https://static.flashscore.com/res/image/data/l2DCBWh5-rysGeGXN.png,0,0,1,1,Garay C. (Chi),Allianz Parque (São Paulo),43713.0,37785.0,30/08/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
0fijdGpE,Racing Club (Arg),https://static.flashscore.com/res/image/data/6T5YTkZA-OCiVKiPK.png,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,0,1,0,3,Matonte Cabrera A. M. (Uru),Estadio Juan Domingo Perón (Avellaneda),61000.0,41597.0,30/08/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
G06GTwgU,Internacional (Bra),https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Bolivar (Bol),https://static.flashscore.com/res/image/data/GENsXszB-KxxHBfzK.png,2,0,3,0,Ostojich E. (Uru),Estádio José Pinheiro Borda (Porto Alegre),50600.0,49137.0,29/08/2023,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
hhWUlYxl,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Olimpia Asuncion (Par),https://static.flashscore.com/res/image/data/fFjeTTwS-UPd1WAes.png,2,0,3,0,Matonte Cabrera A. M. (Uru),Maracanã (Rio de Janeiro),78838.0,64047.0,24/08/2023,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
